timestamp(ms),ATT.DesRoll,ATT.Roll
969022.416,0,0.1
969122.416,0,0.1
969222.416,0,0.1
969322.416,0,0.1
969422.416,0,0.09
969522.416,0,0.1
969622.416,0,0.1
969722.416,0,0.1
969822.416,0,0.1
969922.416,0,0.1
970022.416,0,0.1
970122.416,0,0.1
970222.416,0,0.1
970322.416,0,0.1
970422.416,0,0.1
970522.416,0,0.1
970622.416,0,0.1
970722.416,0,0.09
970822.416,0,0.1
970922.416,0,0.09
971022.416,0,0.09
971122.416,0,0.09
971222.416,0,0.09
971322.416,0,0.09
971422.416,0,0.09
971522.416,0,0.09
971622.416,0,0.09
971722.416,0,0.09
971822.416,0,0.1
971922.416,0,0.11
972022.416,0,0.1
972122.416,0,0.08
972222.416,0,0.07
972322.416,0,0.04
972422.416,0,0.03
972522.416,0,0.02
972622.416,0,0.01
972722.416,0,0.01
972822.416,0,0.01
972922.416,0,-0.01
973022.416,0,-0.01
973122.416,0,-0.04
973222.416,0,-0.05
973322.416,0,-0.06
973422.416,0,-0.05
973522.416,0,-0.04
973622.416,0,-0.07
973722.416,0,-0.13
973822.416,0,-0.18
973922.416,0,-0.3
974022.416,0,-0.45
974122.416,0,-0.38
974222.416,0,-0.62
974322.416,0,-0.4
974422.416,0,-0.28
974522.416,0,-0.46
974622.416,0,-0.32
974722.416,0,0.27
974822.416,0,0.22
974922.416,0,0.2
975022.416,0,0.47
975122.416,0.26,1.32
975222.416,-0.1,1.24
975322.416,-0.13,1.21
975422.416,-0.07,1.43
975522.416,-0.03,1.61
975622.416,-0.01,1.59
975722.416,0,1.39
975822.416,0,1.12
975922.416,0,0.96
976022.416,-0.19,0.7
976122.416,-0.43,0.41
976222.416,-0.64,0.04
976322.416,-0.78,-0.14
976422.416,-0.69,0.01
976522.416,-0.99,-0.26
976622.416,-1.62,-1.08
976722.416,-1.72,-1.41
976822.416,-1.81,-1.46
976922.416,-1.23,-1.01
977022.416,-0.61,-0.14
977122.416,-0.32,0.25
977222.416,-0.16,0.37
977322.416,-0.08,0.28
977422.416,-0.04,0.27
977522.416,-0.31,0.11
977622.416,-0.95,-0.63
977722.416,-1.09,-1.02
977822.416,-1.18,-1.05
977922.416,-0.88,-1.05
978022.416,-0.45,-0.52
978122.416,-0.22,-0.23
978222.416,-0.11,-0.2
978322.416,-0.06,-0.19
978422.416,-0.03,-0.23
978522.416,-0.01,-0.32
978622.416,0,-0.24
978722.416,0,-0.11
978822.416,0,-0.02
978922.416,0,0.02
979022.416,0,0.01
979122.416,0,0.03
979222.416,0,0
979322.416,0,0.01
979422.416,0,0.06
979522.416,0,0.08
979622.416,0,0.02
979722.416,0,-0.07
979822.416,0,-0.27
979922.416,0,-0.31
980022.416,0,-0.26
980122.416,0,-0.21
980222.416,0,-0.24
980322.416,0,-0.18
980422.416,0,-0.1
980522.416,0,-0.05
980622.416,0,-0.08
980722.416,0,-0.12
980822.416,0,-0.05
980922.416,0,-0.03
981022.416,0,0.08
981122.416,0,0.18
981222.416,0,0.3
981322.416,0,0.42
981422.416,0.18,0.58
981522.416,0.55,0.95
981622.416,0.34,0.78
981722.416,0.17,0.4
981822.416,0.1,0.22
981922.416,0.4,0.3
982022.416,0.36,0.43
982122.416,0.18,0.21
982222.416,0.1,0.04
982322.416,0.78,0.39
982422.416,1.38,1.42
982522.416,1.84,1.85
982622.416,2.4,2.51
982722.416,2.64,2.74
982822.416,3.12,3.03
982922.416,3.5,3.35
983022.416,3.56,3.44
983122.416,3.29,3.12
983222.416,3.07,2.81
983322.416,2.87,2.5
983422.416,2.92,2.37
983522.416,3.05,2.54
983622.416,3.12,2.71
983722.416,3.15,2.75
983822.416,3,2.67
983922.416,2.85,2.56
984022.416,1.79,1.81
984122.416,0.68,0.83
984222.416,0.34,0.38
984322.416,0.66,0.55
984422.416,0.37,0.3
984522.416,0.3,0.08
984622.416,0.22,0
984722.416,1.59,0.76
984822.416,5.83,4.71
984922.416,8.2,8.34
985022.416,7.89,8.76
985122.416,7.13,7.93
985222.416,4.67,5.72
985322.416,2.43,2.94
985422.416,1.24,1.21
985522.416,0.71,0.47
985622.416,0.58,0.24
985722.416,1.19,0.97
985822.416,1.83,1.77
985922.416,2.41,2.43
986022.416,3.07,3.18
986122.416,3.6,3.84
986222.416,3.57,4.06
986322.416,3.5,4.17
986422.416,3.19,4.06
986522.416,2.59,3.36
986622.416,1.89,2.52
986722.416,0.97,1.23
986822.416,0.49,0.44
986922.416,1.35,0.59
987022.416,2.63,2.1
987122.416,3.88,3.55
987222.416,4.58,4.51
987322.416,4.51,4.94
987422.416,4.13,4.61
987522.416,3.22,4.01
987622.416,1.76,2.41
987722.416,0.9,1.15
987822.416,0.46,0.39
987922.416,0.37,0.06
988022.416,0.44,0.18
988122.416,0.75,0.46
988222.416,1.05,0.9
988322.416,1.91,1.58
988422.416,3.07,2.91
988522.416,-0.64,-1.15
988622.416,1.2,1.15
988722.416,2.04,2.57
988822.416,2.34,3.21
988922.416,1.48,2.46
989022.416,0.75,1.27
989122.416,-0.11,0.29
989222.416,-0.94,-1
989322.416,-0.56,-0.99
989422.416,-1.26,-1.3
989522.416,-2.41,-2.58
989622.416,-3.47,-3.78
989722.416,-4.02,-4.65
989822.416,-4.36,-4.79
989922.416,-4.36,-4.75
990022.416,-4.05,-4.25
990122.416,-3.9,-3.81
990222.416,-2.81,-3.15
990322.416,-1.43,-1.52
990422.416,-0.73,-0.61
990522.416,-0.89,-0.53
990622.416,-2.13,-1.77
990722.416,-3.04,-2.98
990822.416,-4.04,-4.16
990922.416,-4.58,-4.98
991022.416,-4.83,-5.24
991122.416,-4.8,-5.16
991222.416,-3.11,-3.77
991322.416,-1.34,-1.22
991422.416,-0.81,-0.5
991522.416,-0.41,-0.13
991622.416,-0.21,-0.12
991722.416,-0.1,-0.19
991822.416,-0.05,-0.21
991922.416,-0.02,-0.3
992022.416,-0.01,-0.27
992122.416,-0.7,-0.59
992222.416,-1.49,-1.52
992322.416,-1.23,-1.59
992422.416,-0.63,-1.08
992522.416,-0.32,-0.64
992622.416,-0.16,-0.31
992722.416,-0.08,-0.2
992822.416,-0.04,-0.24
992922.416,-0.53,-0.42
993022.416,-1.77,-1.51
993122.416,-2.03,-2.49
993222.416,-2.1,-2.25
993322.416,-3.76,-3.61
993422.416,-4.68,-4.82
993522.416,-5.21,-5.39
993622.416,-5.59,-5.78
993722.416,-5.03,-5.36
993822.416,-3.29,-3.51
993922.416,-1.67,-1.34
994022.416,-0.82,-0.13
994122.416,-0.45,0.19
994222.416,-0.29,0.15
994322.416,-0.12,0.21
994422.416,-0.03,0.2
994522.416,0.01,0.14
994622.416,0.02,0.1
994722.416,0.01,0.03
994822.416,-0.02,0.05
994922.416,-0.07,-0.01
995022.416,-0.14,-0.23
995122.416,-0.55,-0.59
995222.416,-0.77,-1
995322.416,-0.87,-1.08
995422.416,-2.22,-1.86
995522.416,-3.26,-3.21
995622.416,-4.8,-4.56
995722.416,-6.38,-6.37
995822.416,-7.25,-7.37
995922.416,-7.9,-7.89
996022.416,-7.45,-7.68
996122.416,-6.07,-6.45
996222.416,-4.84,-4.86
996322.416,-3.88,-3.68
996422.416,-3.25,-2.79
996522.416,-3.19,-2.55
996622.416,-3.39,-2.86
996722.416,-3.83,-3.31
996822.416,-4.39,-4.06
996922.416,-4.87,-4.57
997022.416,-5.19,-4.92
997122.416,-5.39,-5.17
997222.416,-5.45,-5.4
997322.416,-4.64,-4.64
997422.416,-3.88,-3.91
997522.416,-2.89,-2.82
997622.416,-1.89,-1.75
997722.416,-0.99,-0.7
997822.416,-0.14,0.15
997922.416,0.67,0.99
998022.416,1.45,1.7
998122.416,2.1,2.35
998222.416,2.57,2.85
998322.416,2.79,3.14
998422.416,2.7,2.98
998522.416,1.72,2.15
998622.416,-0.55,-0.07
998722.416,-3.2,-3.14
998822.416,-5.86,-6.24
998922.416,-7.38,-8.46
999022.416,-7.04,-8.37
999122.416,-6.62,-7.41
999222.416,-5.81,-6.34
999322.416,-5.1,-5.08
999422.416,-4.36,-4.19
999522.416,-2.84,-2.68
999622.416,-1.79,-1.34
999722.416,-0.58,-0.2
999822.416,0.57,1.07
999922.416,0.94,1.7
1000022.416,0.44,1.28
1000122.416,-0.51,0.41
1000222.416,-0.46,-0.21
1000322.416,3.71,4.8
1000422.416,2.2,2.77
1000522.416,0.03,0.52
1000622.416,-1.53,-1.27
1000722.416,-3.33,-3.55
1000822.416,-4.71,-5.39
1000922.416,-5.38,-6.43
1001022.416,-3.69,-5.19
1001122.416,-0.72,-1.85
1001222.416,1.93,1.79
1001322.416,4.07,4.06
1001422.416,6.68,4.88
1001522.416,8.13,6.07
1001622.416,8.79,7.31
1001722.416,10.92,9.47
1001822.416,11.29,11.72
1001922.416,8.4,10.07
1002022.416,4.74,6.32
1002122.416,1.04,2.15
1002222.416,-2.65,-2.09
1002322.416,-5.18,-5.52
1002422.416,-5.79,-7.26
1002522.416,-4.3,-6.17
1002622.416,-2.71,-4.28
1002722.416,0,-1.2
1002822.416,3.46,2.91
1002922.416,7.15,6.97
1003022.416,11.23,11.56
1003122.416,14.08,15.02
1003222.416,14.95,16.5
1003322.416,12.45,14.93
1003422.416,8.25,10.62
1003522.416,3.28,4.79
1003622.416,-1.62,-1.26
1003722.416,-4.95,-5.91
1003822.416,-6.1,-7.55
1003922.416,-6.06,-7.65
1004022.416,-3.55,-5.48
1004122.416,0.17,-1.34
1004222.416,4.58,3.41
1004322.416,9.12,8.41
1004422.416,12.54,12.5
1004522.416,14.34,14.93
1004622.416,14.18,15.24
1004722.416,11.08,12.72
1004822.416,5.64,7.06
1004922.416,0.04,0.55
1005022.416,-4.63,-5.07
1005122.416,-6.82,-8.22
1005222.416,-6.27,-8.31
1005322.416,-2.67,-5.05
1005422.416,2.51,0.51
1005522.416,8.34,7.06
1005622.416,13.45,13.1
1005722.416,16.58,17.29
1005822.416,16.67,18.31
1005922.416,12.52,14.81
1006022.416,5.72,7.73
1006122.416,-1.61,-1
1006222.416,-6.49,-7.72
1006322.416,-8,-10.08
1006422.416,-6.82,-9.35
1006522.416,-2.44,-5.03
1006622.416,3.78,1.8
1006722.416,10.09,9.2
1006822.416,14.36,14.95
1006922.416,15,16.81
1007022.416,12.07,14.29
1007122.416,5.92,8.1
1007222.416,-1.48,-0.39
1007322.416,-7.11,-7.71
1007422.416,-9.72,-11.68
1007522.416,-7.92,-11.24
1007622.416,-1.81,-5.31
1007722.416,5.75,3.33
1007822.416,12.42,11.59
1007922.416,16.19,17.14
1008022.416,14.52,17.08
1008122.416,8.36,11
1008222.416,0.09,1.7
1008322.416,-7.13,-7.5
1008422.416,-10.69,-12.9
1008522.416,-10.19,-13.48
1008622.416,-3.74,-7.88
1008722.416,5.01,2.23
1008822.416,11.35,10.95
1008922.416,13.05,14.89
1009022.416,10.69,13.33
1009122.416,4.9,7.7
1009222.416,-2.57,-0.61
1009322.416,-9.39,-8.84
1009422.416,-11.63,-13.74
1009522.416,-8.34,-11.47
1009622.416,-1.93,-4.89
1009722.416,7.09,6.05
1009822.416,9.75,10.08
1009922.416,9.64,11.79
1010022.416,4.9,7.86
1010122.416,-2.34,0.06
1010222.416,-8.57,-7.98
1010322.416,-10.57,-12.23
1010422.416,-7.23,-10.26
1010522.416,-0.41,-3.34
1010622.416,6.5,5.07
1010722.416,9.98,10.79
1010822.416,8.16,10.85
1010922.416,1.78,4.89
1011022.416,-5.58,-3.59
1011122.416,-10.39,-10.79
1011222.416,-9.03,-11.74
1011322.416,-3,-6.36
1011422.416,4.51,2.29
1011522.416,9.35,9.47
1011622.416,8.59,10.86
1011722.416,2.78,5.89
1011822.416,-4.94,-2.76
1011922.416,-10.18,-10.93
1012022.416,-8.62,-11.66
1012122.416,-2.23,-5.89
1012222.416,5.28,2.98
1012322.416,9.31,9.59
1012422.416,7.13,9.67
1012522.416,0.19,3.24
1012622.416,-7.84,-6.24
1012722.416,-11.13,-12.62
1012822.416,-7.23,-10.92
1012922.416,1.48,-1.75
1013022.416,6.79,5.61
1013122.416,7.23,8.99
1013222.416,0.48,4.11
1013322.416,-9.31,-6.6
1013422.416,-16.79,-16.64
1013522.416,-16.21,-19.86
1013622.416,-9.23,-13.58
1013722.416,-2.11,-4.06
1013822.416,-0.9,0.6
1013922.416,-7.24,-3.41
1014022.416,-17.35,-14.84
1014122.416,-21.21,-21.5
1014222.416,-16.74,-20.86
1014322.416,-5.11,-9.54
1014422.416,3.48,2.74
1014522.416,3.85,7.06
1014622.416,-2.74,1.84
1014722.416,-10.18,-7.43
1014822.416,-11.96,-13.04
1014922.416,-1.51,-4.28
1015022.416,5.52,2.86
1015122.416,8.04,8.73
1015222.416,2.84,6.31
1015322.416,-7.05,-3.83
1015422.416,-11.43,-12.2
1015522.416,-7.23,-10.91
1015622.416,1.09,-2.3
1015722.416,6.51,6.31
1015822.416,3.19,6.55
1015922.416,-4.51,-1.21
1016022.416,-8.41,-8.32
1016122.416,-4.37,-7.41
1016222.416,3.72,0.66
1016322.416,7.61,7.78
1016422.416,2.98,6.15
1016522.416,-5.03,-2.34
1016622.416,-7.69,-8.56
1016722.416,-1.99,-5.6
1016822.416,6.25,3.95
1016922.416,6.98,8.45
1017022.416,0.47,4.07
1017122.416,-6.48,-4.78
1017222.416,-5.26,-7.53
1017322.416,3.87,0.31
1017422.416,9.17,8.41
1017522.416,6.37,9.48
1017622.416,-1.33,1.78
1017722.416,-3.08,-4.98
1017822.416,2.41,-1.17
1017922.416,9.23,7.17
1018022.416,8.9,10.85
1018122.416,1.12,4.62
1018222.416,-4.3,-3.9
1018322.416,0.24,-3.27
1018422.416,7.48,4.53
1018522.416,8.46,9.64
1018622.416,0.81,4.27
1018722.416,-5.24,-4.45
1018822.416,-1.66,-4.79
1018922.416,6.29,3.91
1019022.416,6.48,8.11
1019122.416,-1.16,2.41
1019222.416,-5.93,-5.39
1019322.416,-0.92,-4.18
1019422.416,6.33,4.46
1019522.416,4.33,6.86
1019622.416,-3.48,-0.15
1019722.416,-5.27,-5.99
1019822.416,2.29,-1.14
1019922.416,7.36,6.99
1020022.416,2.05,5.56
1020122.416,-5.27,-3.39
1020222.416,-2.89,-5.5
1020322.416,5.44,2.57
1020422.416,5.62,7.15
1020522.416,-2.92,0.59
1020622.416,-5.82,-6.31
1020722.416,1.47,-2.28
1020822.416,6.12,5.61
1020922.416,-0.34,3.33
1021022.416,-5.97,-4.86
1021122.416,-1.27,-4.54
1021222.416,5.64,3.91
1021322.416,2.56,5.32
1021422.416,-5.24,-3
1021522.416,-3.23,-5.5
1021622.416,4.96,2.68
1021722.416,3.6,5.74
1021822.416,-4.55,-1.7
1021922.416,-3.76,-5.36
1022022.416,4.91,2.05
1022122.416,5.25,6.8
1022222.416,-2.05,0.64
1022322.416,-0.53,-2.43
